cell,formula,cached_value
F80,=D80*E80,3600
B81,,Skip Bin
C81,,Changeover
D81,=D10,0
E81,='Equip&HIRE_Master'!D59,239.8
F81,=D81*E81,0
B85,,Misc.
E89,,Total TCS Prelims 
F89,=SUM(F32:F88),141920.0428343586
A92,,A
B92,,OverHeads
C93,,Unit
D93,,REQ
E93,,Cost ex GST
F93,,Total ex GST
G93,,Percentage across Project COST
B94,,TriCore Overheads - COMPLETE…PER MONTH
C94,,item
D94,,9
E94,,40000
F94,=D94*E94,360000
G94,='TCS $ Sched'!$Q$68,0.17856703320424128
E96,,Total TCS O/H
F96,=SUM(F94:F95),360000
