cell,formula,cached_value
D85,=[4]Subbies_Misc!F92,3560
E85,=B85*D85,0
A86,,Provision of Form 72
B86,,0
D86,=[4]Subbies_Misc!F93,350
E86,=B86*D86,0
A95,,Misc. Project Rates (ROCHAMPTON) - Master
B96,,Unit
C96,,REQ
D96,,All EX GST
E96,,Total EX GST
A97,,"Flight Costs; Qantas, 1-Way, No Check in Luggage"
B97,,Ea.
C97,,1
D97,,220
E97,=C97*D97,220
F97,,Average $220 Incl GST per flight
A98,,"Hire Car; Budget, Airport Pick/Drop, NOT UTE, No Fuel"
B98,,Day
C98,,1
D98,,190
E98,=C98*D98,190
A99,,"Transport (TCS Cost); Airport-Site/Accom, Cab/Staff Pickup"
B99,,Ea.
C99,,1
D99,,65
E99,=C99*D99,65
F99,,Avg
G99,,HD
A100,,TCS Fuel; $/Km
B100,,Km
C100,,1
D100,,0.2
E100,=C100*D100,0.2
G100,,0.16
A101,,"TCS Vehicle Running Costs; $/Km ($3,800/Yr, 35,000Kms/Yr)"
B101,,Km
C101,,1
D101,,0.18
E101,=C101*D101,0.18
G101,,0.11
B103,,Ea.
C103,,1
D103,,0
E103,=C103*D103,0
A104,,Bris -> Rok - Courier - UTE
B104,,Ea.
C104,,1
D104,,0
E104,=C104*D104,0
A105,,Bris -> Rok - Courier - Std Truck
B105,,Ea.
C105,,1
D105,,0
E105,=C105*D105,0
A106,,Bris -> Rok - Courier - Flat Bed (Container/Machine)
B106,,Ea.
C106,,1
D106,,2500
E106,=C106*D106,2500
