cell,formula,cached_value
E63,='Misc Subbie Rates_Master'!D20,10
F63,=E63*D63,0
B64,,13-15T Excavator
C64,,Hr
E64,='Misc Subbie Rates_Master'!D21,153
F64,=E64*D64,0
B65,,Hammer attachment 14T
C65,,Hr
E65,='Misc Subbie Rates_Master'!D22,36
F65,=E65*D65,0
B66,,Ripper 14T
C66,,Hr
E66,='Misc Subbie Rates_Master'!D23,10
F66,=E66*D66,0
B67,,3000L Hydro Excavation Truck
C67,,Hr
E67,='Misc Subbie Rates_Master'!D24,190
F67,=E67*D67,0
B68,,4500L Hydro Excavation Truck 
C68,,Hr
E68,='Misc Subbie Rates_Master'!D25,220
F68,=E68*D68,0
B69,,6300L Hydro Excavation Truck
C69,,Hr
E69,='Misc Subbie Rates_Master'!D26,250
F69,=E69*D69,0
B70,,Water Truck allow for water at cost 
C70,,Hr
E70,='Misc Subbie Rates_Master'!D27,110
F70,=E70*D70,0
B71,,12t Body Truck Tipper
C71,,Hr
E71,='Misc Subbie Rates_Master'!D28,110
F71,=E71*D71,0
B73,,HIRE - DRY
B74,,Skid Steer Loader_Tracked (CAT249+)
C74,,Day
D74,,35
E74,='Equip&HIRE_Master'!D4,225.43333333333334
F74,=E74*D74,7890.166666666667
B75,,Skid Steer Loader_Wheeled (CAT226+)
C75,,Day
E75,='Equip&HIRE_Master'!D5,163.96666666666667
F75,=E75*D75,0
B76,,"Mini Loader, Stand-on Type"
C76,,Day
E76,='Equip&HIRE_Master'!D6,180
F76,=E76*D76,0
E77,='Equip&HIRE_Master'!D7,0
F77,=E77*D77,0
B78,,1.5-1.8 Ton_Excavator
C78,,Day
D78,,35
E78,='Equip&HIRE_Master'!D8,137.14285714285714
F78,=E78*D78,4800
B79,,1.7-2Ton_Excavator
C79,,Day
E79,='Equip&HIRE_Master'!D9,0
F79,=E79*D79,0
B80,,3-5Ton_Excavator
C80,,Day
E80,='Equip&HIRE_Master'!D10,238.66666666666666
F80,=E80*D80,0
B81,,8Ton_Excavator
C81,,Day
D81,,35
E81,='Equip&HIRE_Master'!D11,261.1666666666667
F81,=E81*D81,9140.833333333334
B82,,10-12Ton_Excavator
C82,,Day
E82,='Equip&HIRE_Master'!D12,0
F82,=E82*D82,0
B83,,13-16Ton_Excavator
C83,,Day
E83,='Equip&HIRE_Master'!D13,317.2
F83,=E83*D83,0
B84,,20-24Ton_Excavator
C84,,Day
E84,='Equip&HIRE_Master'!D14,314.2857142857143
F84,=E84*D84,0
E85,='Equip&HIRE_Master'!D15,0
F85,=E85*D85,0
B86,,Ripper_1.7-2T
C86,,Day
E86,='Equip&HIRE_Master'!D16,0
F86,=E86*D86,0
B87,,Ripper_1.5-4T
C87,,Day
E87,='Equip&HIRE_Master'!D17,32.74
F87,=E87*D87,0
B88,,Ripper_3-5T
C88,,Day
E88,='Equip&HIRE_Master'!D18,0
F88,=E88*D88,0
B89,,Ripper_8T
C89,,Day
E89,='Equip&HIRE_Master'!D19,40.38
F89,=E89*D89,0
B90,,Breaker_1.7-2T
C90,,Day
E90,='Equip&HIRE_Master'!D20,123.33
F90,=E90*D90,0
B91,,Breaker_3-5T
C91,,Day
E91,='Equip&HIRE_Master'!D21,165.89
F91,=E91*D91,0
B92,,Breaker_8T
C92,,Day
E92,='Equip&HIRE_Master'!D22,165.89
F92,=E92*D92,0
B93,,Breaker_10-12T
C93,,Day
E93,='Equip&HIRE_Master'!D23,0
F93,=E93*D93,0
B94,,Breaker_13-15T
C94,,Day
E94,='Equip&HIRE_Master'!D24,203
F94,=E94*D94,0
B95,,Auger Drive_10-12T
E95,='Equip&HIRE_Master'!D25,0
F95,=E95*D95,0
B96,,300Dia Auger Drill
E96,='Equip&HIRE_Master'!D26,0
F96,=E96*D96,0
E97,='Equip&HIRE_Master'!D27,0
F97,=E97*D97,0
B98,,1.25T_Tipper Truck 
C98,,Day
D98,,35
E98,='Equip&HIRE_Master'!D28,205
F98,=E98*D98,7175
B99,,2-4T_Tipper Truck
C99,,Day
E99,='Equip&HIRE_Master'!D29,166.98
F99,=E99*D99,0
B100,,<6T_Tipper Truck
C100,,Day
E100,='Equip&HIRE_Master'!D30,171.42857142857142
F100,=E100*D100,0
E101,='Equip&HIRE_Master'!D31,0
F101,=E101*D101,0
B102,,<10T_Articulated Site Tipper
C102,,Day
E102,='Equip&HIRE_Master'!D32,0
F102,=E102*D102,0
B103,,Upright Rammer_Wacker
C103,,Day
D103,,0
E103,='Equip&HIRE_Master'!D33,34.285714285714285
F103,=E103*D103,0
B104,,Trench Roller_Dbl Drum_Remote
C104,,Day
D104,,35
E104,='Equip&HIRE_Master'!D34,165
F104,=E104*D104,5775
B105,,<26Ft_Scissor Lift - Diesel
C105,,Day
D105,,18
E105,,300
F105,=E105*D105,5400
B106,,<26Ft_Scissor Lift - Elec
C106,,Day
E106,='Equip&HIRE_Master'!D36,0
F106,=E106*D106,0
B107,,<34Ft_Boom Lift - Diesel
C107,,Day
E107,='Equip&HIRE_Master'!D37,0
F107,=E107*D107,0
B108,,<34Ft_Boom Lift - Elec
C108,,Day
E108,='Equip&HIRE_Master'!D38,0
F108,=E108*D108,0
E109,='Equip&HIRE_Master'!D39,0
F109,=E109*D109,0
B110,,Porta Loo_No Tank
C110,,Day
E110,='Equip&HIRE_Master'!D40,5.46
F110,=E110*D110,0
B111,,6*3m Demantable Lunchroom - COMPLETE
C111,,Day
E111,='Equip&HIRE_Master'!D41,23
F111,=E111*D111,0
B112,,6*3m Demantable Office - COMPLETE
C112,,Day
E112,='Equip&HIRE_Master'!D42,23
F112,=E112*D112,0
B113,,20Ft Shipping Container
C113,,Day
E113,='Equip&HIRE_Master'!D43,0
F113,=E113*D113,0
B114,,Quick Cut Demo Saw
C114,,Day
E114,='Equip&HIRE_Master'!D44,0
F114,=E114*D114,0
B115,,Sngl Ph_6KVA Genset
C115,,Day
E115,='Equip&HIRE_Master'!D45,0
F115,=E115*D115,0
B116,,Diesel Air Compressor_Trailer
C116,,Day
E116,='Equip&HIRE_Master'!D46,0
F116,=E116*D116,0
B117,,Air Breaker - Heavy
C117,,Day
E117,='Equip&HIRE_Master'!D47,0
F117,=E117*D117,0
B118,,Air Hose <10m
C118,,Day
E118,='Equip&HIRE_Master'!D48,0
F118,=E118*D118,0
B119,,Elec Breaker/Jachammer
C119,,Day
E119,='Equip&HIRE_Master'!D49,0
F119,=E119*D119,0
B120,,Flexdrive Motor Unit
C120,,Day
E120,='Equip&HIRE_Master'!D50,0
F120,=E120*D120,0
B121,,Flexdrive_Pump Shaft
C121,,Day
E121,='Equip&HIRE_Master'!D51,0
F121,=E121*D121,0
B122,,Temporary Power Board
C122,,Day
E122,='Equip&HIRE_Master'!D52,0
F122,=E122*D122,0
E123,='Equip&HIRE_Master'!D53,0
F123,=E123*D123,0
B124,,Dual CabUte
C124,,Day
E124,='Equip&HIRE_Master'!D54,0
F124,=E124*D124,0
B125,,3m3 Skip Bbin 
C125,,per serive
E125,='Equip&HIRE_Master'!D55,230
F125,=E125*D125,0
B126,,plus disposal 
C126,,Tonne 
E126,='Equip&HIRE_Master'!D56,309
F126,=E126*D126,0
B127,,site fee 
C127,,Week
E127,='Equip&HIRE_Master'!D57,35
F127,=E127*D127,0
