cell,formula,cached_value
B70,,"PIPE TO PIPE CONNECTION ( 600 HDPE , 150 PVC )"
C70,,1
D70,,ea
E70,,600
F70,=C70*E70,600
B71,,"PIPE TO PIPE CONNECTION ( 375 RPC , 100 PVC )"
C71,,1
D71,,ea
E71,,260
F71,=C71*E71,260
B72,,PIPE TO CULVERT CONNECTION ( 375MM RCP /RCBC 1500 X600)
C72,,1
D72,,ea
E72,,200
F72,=C72*E72,200
B75,,DWV Grade Option
B77,,600*225 Ribbed Saddle
D77,,ea
E77,,490
F77,=C77*E77,0
B78,,600*45Deg RIBBED Bend
D78,,ea
E78,,650
F78,=C78*E78,0
B79,,600*450 Ribbed Reducer
D79,,ea
E79,,1100
F79,=C79*E79,0
B80,,450*375 Ribbed*PVC Reducer
D80,,ea
E80,,460
F80,=C80*E80,0
B81,,450 45 Deg ribbed Bend
D81,,ea
E81,,580
F81,=C81*E81,0
B82,,450 * 225 Ribbed Saddle
D82,,ea
E82,,320
F82,=C82*E82,0
B83,,375mm X 45Deg Junction
D83,,ea
E83,,420
F83,=C83*E83,0
B84,,375X300X45D PVC JUNCTION
D84,,ea
E84,,562.39
F84,=C84*E84,0
B85,,375X225X45D PVC JUNCTION
D85,,ea
E85,,563.39
F85,=C85*E85,0
B86,,375MM X 300MM Reducer
D86,,ea
E86,,380
F86,=C86*E86,0
B87,,375MM X 225MM Reducer
D87,,ea
E87,,360
F87,=C87*E87,0
B88,,375MM X 90Deg Bend
D88,,ea
E88,,540
F88,=C88*E88,0
B89,,375MM X 45Deg Bend
D89,,ea
E89,,450
F89,=C89*E89,0
B90,,300MM * 45D PVC JUNCTION
D90,,ea
E90,,360
F90,=C90*E90,0
B91,,300X225X45D PVC JUNCTION
D91,,ea
E91,,320
F91,=C91*E91,0
B92,,300MM X 225MM Reducer
D92,,ea
E92,,190
F92,=C92*E92,0
B93,,300MM X 90Deg Bend
D93,,ea
E93,,250
F93,=C93*E93,0
B94,,300MM X 45Deg Bend
D94,,ea
E94,,190
F94,=C94*E94,0
B95,,300MM X 150 Junction
B96,,225MM * 45D PVC JUNCTION
D96,,ea
E96,,85.25
F96,=C96*E96,0
B97,,225X150X45D PVC JUNCTION
D97,,ea
E97,,210
F97,=C97*E97,0
B98,,225MM X 90Deg Bend
D98,,ea
E98,,62
F98,=C98*E98,0
B99,,225MM X 45Deg Bend
D99,,ea
E99,,61
F99,=C99*E99,0
B100,,225MM X 150MM Reducer
D100,,ea
E100,,120
F100,=C100*E100,0
B101,,150MM X 100MM Reducer
D101,,ea
E101,,85
F101,=C101*E101,0
B102,,150 PVC DWV 45Deg Junct
D102,,ea
E102,,18
F102,=C102*E102,0
B103,,150MM X 90Deg Bend
D103,,ea
E103,,16
F103,=C103*E103,0
B104,,150MM X 45Deg Bend
D104,,ea
E104,,12
F104,=C104*E104,0
B105,,150X100X45D PVC JUNCTION
D105,,ea
E105,,16
F105,=C105*E105,0
B106,,100X45D PVC JUNCTION
D106,,ea
E106,,13
F106,=C106*E106,0
B107,,100MM X 90Deg Bend
D107,,ea
E107,,12
F107,=C107*E107,0
B108,,100MM X 45Deg Bend
D108,,ea
E108,,12
F108,=C108*E108,0
B109,,150mm PVC 10mm nut hanging clip
D109,,ea
E109,,1.9
F109,=C109*E109,0
B110,,10mm Zinc Threaded Rod
D110,,m
E110,,2
F110,=C110*E110,0
B111,,Glue - Blue - 4Ltr
D111,,ea
E111,,26.4
F111,=C111*E111,0
B112,,Primer - Red - 4Ltr
D112,,ea
E112,,23
F112,=C112*E112,0
B113,,600*600 pits
D113,,ea
E113,,990
F113,=C113*E113,0
B115,,SW_Gully/Pit
B116,,Concrete/GRC - Class D - 450SQ Pit w/base - 450H
D116,,ea
B117,,Concrete/GRC - Class D - 450SQ Pit w/base - 600H
D117,,ea
B118,,Concrete/GRC - Class D - 450SQ Riser - 300H
D118,,ea
B119,,Concrete/GRC - Class D - 450SQ Riser - 450H
D119,,ea
B120,,Concrete/GRC - Class D - 450SQ Riser - 600H
D120,,ea
B121,,Concrete/GRC - Class D - 600SQ Pit w/base - 450H
D121,,ea
B122,,Concrete/GRC - Class D - 600SQ Pit w/base - 600H
C122,,3
D122,,ea
E122,,168
F122,=C122*E122,504
B123,,Concrete/GRC - Class D - 900SQ Pit w/base - 450H
D123,,ea
B124,,Concrete/GRC - Class D - 900SQ Pit w/base - 600H
D124,,ea
B125,,Concrete/GRC - Class D - 900SQ Pit w/base - 900H
D125,,ea
E125,,365.7
F125,=C125*E125,0
B126,,Concrete/GRC - Class D - 600SQ Riser - 150H
D126,,ea
E126,,109
F126,=C126*E126,0
B127,,Concrete/GRC - Class D - 600SQ Riser - 300H
D127,,ea
E127,,138
F127,=C127*E127,0
B128,,Concrete/GRC - Class D - 600SQ Riser - 600H
D128,,ea
E128,,201.25
F128,=C128*E128,0
B129,,Concrete/GRC - Class D - 600SQ Riser - 900H
D129,,ea
B130,,Concrete/GRC - Class D - 900SQ Pit w/base - 900H
D130,,ea
E130,,390
F130,=C130*E130,0
B131,,Concrete/GRC - Class D - 900SQ Riser - 150H
D131,,ea
E131,,162
F131,=C131*E131,0
B132,,Concrete/GRC - Class D - 900SQ Riser - 300H
D132,,ea
E132,,218
F132,=C132*E132,0
