cell,formula,cached_value
C64,,Hr
E64,='Misc Subbie Rates_Master'!D27,110
F64,=E64*D64,0
B65,,12t Body Truck Tipper
C65,,Hr
E65,='Misc Subbie Rates_Master'!D28,110
F65,=E65*D65,0
B67,,HIRE - DRY
B68,,Skid Steer Loader_Tracked (CAT249+)
C68,,Day
E68,='Equip&HIRE_Master'!D4,225.43333333333334
F68,=E68*D68,0
B69,,Skid Steer Loader_Wheeled (CAT226+)
C69,,Day
E69,='Equip&HIRE_Master'!D5,163.96666666666667
F69,=E69*D69,0
B70,,"Mini Loader, Stand-on Type"
C70,,Day
E70,='Equip&HIRE_Master'!D6,180
F70,=E70*D70,0
E71,='Equip&HIRE_Master'!D7,0
F71,=E71*D71,0
B72,,1.5-1.8 Ton_Excavator
C72,,Day
E72,='Equip&HIRE_Master'!D8,137.14285714285714
F72,=E72*D72,0
B73,,1.7-2Ton_Excavator
C73,,Day
E73,='Equip&HIRE_Master'!D9,0
F73,=E73*D73,0
B74,,3-5Ton_Excavator
C74,,Day
E74,='Equip&HIRE_Master'!D10,238.66666666666666
F74,=E74*D74,0
B75,,8Ton_Excavator
C75,,Day
E75,='Equip&HIRE_Master'!D11,261.1666666666667
F75,=E75*D75,0
B76,,10-12Ton_Excavator
C76,,Day
E76,='Equip&HIRE_Master'!D12,0
F76,=E76*D76,0
B77,,13-16Ton_Excavator
C77,,Day
E77,='Equip&HIRE_Master'!D13,317.2
F77,=E77*D77,0
B78,,20-24Ton_Excavator
C78,,Day
E78,='Equip&HIRE_Master'!D14,314.2857142857143
F78,=E78*D78,0
E79,='Equip&HIRE_Master'!D15,0
F79,=E79*D79,0
B80,,Ripper_1.7-2T
C80,,Day
E80,='Equip&HIRE_Master'!D16,0
F80,=E80*D80,0
B81,,Ripper_1.5-4T
C81,,Day
E81,='Equip&HIRE_Master'!D17,32.74
F81,=E81*D81,0
B82,,Ripper_3-5T
C82,,Day
E82,='Equip&HIRE_Master'!D18,0
F82,=E82*D82,0
B83,,Ripper_8T
C83,,Day
E83,='Equip&HIRE_Master'!D19,40.38
F83,=E83*D83,0
B84,,Breaker_1.7-2T
C84,,Day
E84,='Equip&HIRE_Master'!D20,123.33
F84,=E84*D84,0
B85,,Breaker_3-5T
C85,,Day
E85,='Equip&HIRE_Master'!D21,165.89
F85,=E85*D85,0
B86,,Breaker_8T
C86,,Day
E86,='Equip&HIRE_Master'!D22,165.89
F86,=E86*D86,0
B87,,Breaker_10-12T
C87,,Day
E87,='Equip&HIRE_Master'!D23,0
F87,=E87*D87,0
B88,,Breaker_13-15T
C88,,Day
E88,='Equip&HIRE_Master'!D24,203
F88,=E88*D88,0
B89,,Auger Drive_10-12T
E89,='Equip&HIRE_Master'!D25,0
F89,=E89*D89,0
B90,,300Dia Auger Drill
E90,='Equip&HIRE_Master'!D26,0
F90,=E90*D90,0
E91,='Equip&HIRE_Master'!D27,0
F91,=E91*D91,0
B92,,1.25T_Tipper Truck 
C92,,Day
E92,='Equip&HIRE_Master'!D28,205
F92,=E92*D92,0
B93,,2-4T_Tipper Truck
C93,,Day
E93,='Equip&HIRE_Master'!D29,166.98
F93,=E93*D93,0
B94,,<6T_Tipper Truck
C94,,Day
E94,='Equip&HIRE_Master'!D30,171.42857142857142
F94,=E94*D94,0
E95,='Equip&HIRE_Master'!D31,0
F95,=E95*D95,0
B96,,<10T_Articulated Site Tipper
C96,,Day
E96,='Equip&HIRE_Master'!D32,0
F96,=E96*D96,0
B97,,Upright Rammer_Wacker
C97,,Day
E97,='Equip&HIRE_Master'!D33,34.285714285714285
F97,=E97*D97,0
B98,,Trench Roller_Dbl Drum_Remote
C98,,Day
E98,='Equip&HIRE_Master'!D34,165
F98,=E98*D98,0
B99,,<26Ft_Scissor Lift - Diesel
C99,,Day
E99,='Equip&HIRE_Master'!D35,0
F99,=E99*D99,0
B100,,<26Ft_Scissor Lift - Elec
C100,,Day
E100,='Equip&HIRE_Master'!D36,0
F100,=E100*D100,0
B101,,<34Ft_Boom Lift - Diesel
C101,,Day
E101,='Equip&HIRE_Master'!D37,0
F101,=E101*D101,0
B102,,<34Ft_Boom Lift - Elec
C102,,Day
E102,='Equip&HIRE_Master'!D38,0
F102,=E102*D102,0
E103,='Equip&HIRE_Master'!D39,0
F103,=E103*D103,0
B104,,Porta Loo_No Tank
C104,,Day
