cell,formula,cached_value
E62,='Misc Subbie Rates_Master'!D21,153
F62,=E62*D62,0
B63,,Hammer attachment 14T
C63,,Hr
E63,='Misc Subbie Rates_Master'!D22,36
F63,=E63*D63,0
B64,,Ripper 14T
C64,,Hr
E64,='Misc Subbie Rates_Master'!D23,10
F64,=E64*D64,0
B65,,3000L Hydro Excavation Truck
C65,,Hr
E65,='Misc Subbie Rates_Master'!D24,190
F65,=E65*D65,0
B66,,4500L Hydro Excavation Truck 
C66,,Hr
E66,='Misc Subbie Rates_Master'!D25,220
F66,=E66*D66,0
B67,,6300L Hydro Excavation Truck
C67,,Hr
E67,='Misc Subbie Rates_Master'!D26,250
F67,=E67*D67,0
B68,,Water Truck allow for water at cost 
C68,,Hr
E68,='Misc Subbie Rates_Master'!D27,110
F68,=E68*D68,0
B69,,12t Body Truck Tipper
C69,,Hr
E69,='Misc Subbie Rates_Master'!D28,110
F69,=E69*D69,0
B71,,HIRE - DRY
B72,,Skid Steer Loader_Tracked (CAT249+)
C72,,Day
E72,='Equip&HIRE_Master'!D4,225.43333333333334
F72,=E72*D72,0
B73,,Skid Steer Loader_Wheeled (CAT226+)
C73,,Day
E73,='Equip&HIRE_Master'!D5,163.96666666666667
F73,=E73*D73,0
B74,,"Mini Loader, Stand-on Type"
C74,,Day
E74,='Equip&HIRE_Master'!D6,180
F74,=E74*D74,0
E75,='Equip&HIRE_Master'!D7,0
F75,=E75*D75,0
B76,,1.5-1.8 Ton_Excavator
C76,,Day
E76,='Equip&HIRE_Master'!D8,137.14285714285714
F76,=E76*D76,0
B77,,1.7-2Ton_Excavator
C77,,Day
E77,='Equip&HIRE_Master'!D9,0
F77,=E77*D77,0
B78,,3-5Ton_Excavator
C78,,Day
E78,='Equip&HIRE_Master'!D10,238.66666666666666
F78,=E78*D78,0
B79,,8Ton_Excavator
C79,,Day
E79,='Equip&HIRE_Master'!D11,261.1666666666667
F79,=E79*D79,0
B80,,10-12Ton_Excavator
C80,,Day
E80,='Equip&HIRE_Master'!D12,0
F80,=E80*D80,0
B81,,13-16Ton_Excavator
C81,,Day
E81,='Equip&HIRE_Master'!D13,317.2
F81,=E81*D81,0
B82,,20-24Ton_Excavator
C82,,Day
