cell,formula,cached_value
B66,,Total
F66,=SUM(F57:F65),10068.5375
A68,,EXTERIOR ELEMENTS
A69,,Code
B69,,Description
C69,,Quantity
D69,,Unit
E69,,Rate
F69,,Total
B70,,GENERAL CLARIFICATIONS
A71,,T37.1
B71,,"Refer drawing CQU-ROK-21A-G-ARC-20-01, CQU-ROK-21A-G-ARC-21-00"
D71,,Note
B72,,"ROADS, FOOTPATHS AND PAVED AREAS"
B73,,External footpath
A74,,T37.2
B74,,Assumed external paving as indicated on the drawings [approximate area: 78 m²]
C74,,78
D74,,m2
E74,,143.75
F74,=C74*E74,11212.5
A76,,BUILDING 33
A78,,GROUNDWORKS
A79,,Code
B79,,Description
C79,,Quantity
D79,,Unit
E79,,Rate
F79,,Total
B80,,GENERAL CLARIFICATIONS
B81,,"Refer drawing Drg 33-ST-DR-GDL-510-00-00 , 33-ST-DR-GDL-900-00-01"
D81,,Note
B82,,WORK MEASURED IN OTHER SECTIONS
A83,,T04.1
B83,,Stormwater drainage included in T32 HYDRAULICS
D83,,Note
B84,,PRELIMINARIES
A85,,T04.2
B85,,Site establishment & demobilisation
C85,,1
D85,,item
E85,,4600
F85,=C85*E85,4600
A86,,T04.3
B86,,Survey set-out
C86,,1
D86,,item
E86,,1725
F86,=C86*E86,1725
A87,,T04.4
B87,,As constructed survey
C87,,1
D87,,item
E87,,1725
F87,=C87*E87,1725
B88,,EROSION AND SEDIMENT CONTROL
A89,,T04.5
B89,,Allow for erosion and sediment control
C89,,1
D89,,item
E89,,1725
F89,=C89*E89,1725
B90,,EXCAVATION
B91,,Siteworks
A92,,T04.6
B92,,"Clear the site of all vegetable matter, debris, rubbish etc.; including trees <= 500 girth complete with stumps and roots, if required"
C92,,69
D92,,m2
E92,,5.4625
F92,=C92*E92,376.9125
A93,,T04.7
B93,,"Excavate to remove top soil average 200 mm deep, if required"
C93,,69
D93,,m2
E93,,22.425
F93,=C93*E93,1547.325
A94,,T04.8
B94,,Existing wall to be temporarily supported during excavation and construction phase; Section A on drawing 33-ST-DR-GDL-900-00-01
C94,,1
D94,,item
E94,,20700
F94,=C94*E94,20700
A95,,T04.9
B95,,Temporary shoring by contractors engineer to allow safe excavation of lift pit base and support to existing ground floor structure; Section A on drawing 33-ST-DR-GDL-900-00-01
C95,,1
D95,,item
