cell,formula,cached_value
F75,=D75*E75,170.92298078529655
B76,=B68,** for Roster Examples # 3
C76,,DAY
D76,,1
E76,=E78/$C$8,1709.2298078529657
F76,=D76*E76,1709.2298078529657
B77,=B69,TRADESMAN_PLUMBER_OPERATOR
C77,,WEEK
D77,,1
E77,=E78/4,8973.45649122807
F77,=D77*E77,8973.45649122807
B78,=B71,T/A & Apprentice
C78,,MONTH
D78,,1
E78,=(E24)+E31,35893.82596491228
F78,=D78*E78,35893.82596491228
B80,,QTY Staff in Crew
C80,"=COUNTA(B77,B78)",2
A85,,`
B87,,"FULL team, FULL Duration, as per Program"
C87,,HR
D87,,0
E87,=E90/$C$10,653.193192982456
F87,=D87*E87,0
B88,,** for Roster Examples # 3
C88,,DAY
D88,,0
E88,=E90/$C$8,6531.931929824561
F88,=D88*E88,0
B89,=B36,Crew #1 - InGround Drainage
C89,,WEEK
D89,,0
E89,=E90/4,34292.64263157894
F89,=D89*E89,0
B90,=B43,Crew #2 - InGround Water/Fire
C90,,MONTH
D90,,4
E90,=E46+E39+E17,137170.57052631577
F90,=D90*E90,548682.2821052631
B91,=B14,TRADESMAN_LEADING HAND
B92,,QTY Staff in Crew
C92,=C48+C41+C19,7
A94,,`
B97,,ACCOMODATION
C98,,Unit
D98,,REQ
E98,,Cost
F98,,Total EX GST
B100,=Accomodation_Master!B266,Full Apartment / TownHouse / Unit - VIA AGENT
E100,,*Changed to ex GST
G100,,11
B101,,** for Roster Examples # 3
C101,,NIGHT
D101,,0
E101,=E102/7,164.5021645021645
F101,=D101*E101,0
C102,,WEEK
D102,,0
E102,=E103/4,1151.5151515151515
F102,=D102*E102,0
B103,=B21,TRADESMAN_PLUMBER_OPERATOR
C103,,MONTH
D103,,0
E103,=(Accomodation_Master!E308)-(Accomodation_Master!E308/G100),4606.060606060606
F103,=D103*E103,0
B104,=B21,TRADESMAN_PLUMBER_OPERATOR
B105,=B28,T/A & Apprentice
B106,,QTY Staff in Crew
C106,"=COUNTA(B103,B104,B105)",3
B108,,Individual - PER PERSON
E108,,*Changed to ex GST
G108,,11
B109,,** for Roster Examples # 3
C109,,NIGHT
D109,,0
E109,=(Accomodation_Master!F364)-(Accomodation_Master!F364/G108),103.24675324675326
F109,=D109*E109,0
B110,=Accomodation_Master!$B$364,TCS Cost Per Person - Private Unit - NO SHARE - Nightly Booking (average allowance)
C110,,WEEK
D110,,0
E110,=E109*7,722.7272727272727
F110,=D110*E110,0
C111,,MONTH
D111,,0
E111,=E110*4,2890.909090909091
F111,=D111*E111,0
