cell,formula,cached_value
AV34,=AT34-$E$9-$E$8,-0.75
J35,=E35-I35,0
M35,=J35-$E$4-$E$14,-0.98
T35,=M35-(O35*$E$25)-(P35*$E$11)-(Q35*$E$12)-(R35*$E$13),-0.98
V35,,28
AC35,,1.62
AD35,,2.1000000000000014
AE35,=AC35-$E$4-$E$14,0.64
AK35,=AE35-(AG35*$E$25)-(AH35*$E$11)-(AI35*$E$12)-(AJ35*$E$13),0.64
AM35,,48
AV35,=AT35-$E$9-$E$8,-0.75
J36,=E36-I36,0
M36,=J36-$E$4-$E$14,-0.98
T36,=M36-(O36*$E$25)-(P36*$E$11)-(Q36*$E$12)-(R36*$E$13),-0.98
V36,,29
AC36,,0.86
AD36,,2.1000000000000014
AE36,=AC36-$E$4-$E$14,-0.12
AK36,=AE36-(AG36*$E$25)-(AH36*$E$11)-(AI36*$E$12)-(AJ36*$E$13),-0.12
J37,=E37-I37,0
M37,=J37-$E$4-$E$14,-0.98
T37,=M37-(O37*$E$25)-(P37*$E$11)-(Q37*$E$12)-(R37*$E$13),-0.98
V37,,30
AC37,,0.86
AD37,,2.1000000000000014
AE37,=AC37-$E$4-$E$14,-0.12
AK37,=AE37-(AG37*$E$25)-(AH37*$E$11)-(AI37*$E$12)-(AJ37*$E$13),-0.12
J38,=E38-I38,0
M38,=J38-$E$4-$E$14,-0.98
T38,=M38-(O38*$E$10)-(P38*$E$11)-(Q38*$E$12)-(R38*$E$13),-0.98
V38,,31
AC38,,0.95
AD38,,2.1000000000000014
AE38,=AC38-$E$4-$E$14,-0.030000000000000027
AK38,=AE38-(AG38*$E$25)-(AH38*$E$11)-(AI38*$E$12)-(AJ38*$E$13),-0.030000000000000027
J39,=E39-I39,0
M39,=J39-$E$4-$E$6-$E$19,-1.455
T39,=M39-(O39*$E$10)-(P39*$E$11)-(Q39*$E$12)-(R39*$E$13),-1.455
V39,,32
AC39,,1.01
AD39,,2.1000000000000014
AE39,=AC39-$E$4-$E$14,0.030000000000000027
AK39,=AE39-(AG39*$E$25)-(AH39*$E$11)-(AI39*$E$12)-(AJ39*$E$13),0.030000000000000027
J40,=E40-I40,0
M40,=J40-$E$4-$E$6-$E$19,-1.455
T40,=M40-(O40*$E$25)-(P40*$E$11)-(Q40*$E$12)-(R40*$E$13),-1.455
V40,,33
AC40,,1.05
AD40,,2.1000000000000014
AE40,=AC40-$E$4-$E$14,0.07000000000000006
AK40,=AE40-(AG40*$E$10)-(AH40*$E$11)-(AI40*$E$12)-(AJ40*$E$13),0.07000000000000006
J41,=E41-I41,0
M41,=J41-$E$4-$E$6-$E$19,-1.455
T41,=M41-(O41*$E$10)-(P41*$E$11)-(Q41*$E$12)-(R41*$E$13),-1.455
V41,,34
AC41,,1.51
AD41,,2.1000000000000014
AE41,=AC41-$E$4-$E$14,0.5299999999999999
AK41,=AE41-(AG41*$E$25)-(AH41*$E$11)-(AI41*$E$12)-(AJ41*$E$13),0.5299999999999999
J42,=E42-I42,0
M42,=J42-$E$4-$E$14,-0.98
T42,=M42-(O42*$E$10)-(P42*$E$11)-(Q42*$E$12)-(R42*$E$13),-0.98
V42,,35
AC42,,1.25
AD42,,2.1000000000000014
AE42,=AC42-$E$4-$E$14,0.2699999999999999
AK42,=AE42-(AG42*$E$10)-(AH42*$E$11)-(AI42*$E$12)-(AJ42*$E$13),0.2699999999999999
J43,=E43-I43,0
M43,=J43-$E$4-$E$6-$E$19,-1.455
T43,=M43-(O43*$E$10)-(P43*$E$11)-(Q43*$E$12)-(R43*$E$13),-1.455
V43,,36
AC43,,1.28
AD43,,2.1000000000000014
AE43,=AC43-$E$4-$E$14,0.29999999999999993
AK43,=AE43-(AG43*$E$10)-(AH43*$E$11)-(AI43*$E$12)-(AJ43*$E$13),0.29999999999999993
J44,=E44-I44,0
M44,=J44-$E$14-$E$4,-0.98
T44,=M44-(O44*$E$25)-(P44*$E$11)-(Q44*$E$12)-(R44*$E$13),-0.98
V44,,37
AC44,,1.43
AD44,,2.1000000000000014
AE44,=AC44-$E$4-$E$14,0.44999999999999984
AK44,=AE44-(AG44*$E$10)-(AH44*$E$11)-(AI44*$E$12)-(AJ44*$E$13),0.44999999999999984
J45,=E45-I45,0
M45,=J45-$E$4-$E$14,-0.98
T45,=M45-(O45*$E$10)-(P45*$E$11)-(Q45*$E$12)-(R45*$E$13),-0.98
AC45,,1.43
AD45,,2.1000000000000014
AE45,=AC45-$E$4-$E$14,0.44999999999999984
AK45,=AE45-(AG45*$E$10)-(AH45*$E$11)-(AI45*$E$12)-(AJ45*$E$13),0.44999999999999984
J46,=E46-I46,0
M46,=J46-$E$4-$E$14,-0.98
T46,=M46-(O46*$E$10)-(P46*$E$11)-(Q46*$E$12)-(R46*$E$13),-0.98
V46,,38
AC46,,1.38
AD46,,2.1000000000000014
AE46,=AC46-$E$4-$E$14,0.3999999999999998
AK46,=AE46-(AG46*$E$10)-(AH46*$E$11)-(AI46*$E$12)-(AJ46*$E$13),0.3999999999999998
J47,=E47-I47,0
M47,=J47-$E$3-$E$9,-0.655
T47,=M47-(O47*$E$10)-(P47*$E$11)-(Q47*$E$12)-(R47*$E$13),-0.655
V47,,39
AC47,,1.4
AD47,,2.1000000000000014
AE47,=AC47-0.045-$E$14,0.45499999999999996
AK47,=AE47-(AG47*$E$10)-(AH47*$E$11)-(AI47*$E$12)-(AJ47*$E$13),0.45499999999999996
L50,,provide filter basket
M50,,Pit Bases
O50,,0.15 Riser
P50,,0.3 Riser
Q50,,0.6 Riser
R50,,0.9 Riser
AE50,,Pits
AG50,,0.15 Riser
AH50,,0.3 Riser
AI50,,0.6 Riser
AJ50,,0.9 Riser
AW50,,Pits
AX50,,0.15 Riser
AY50,,0.3 Riser
AZ50,,0.6 Riser
BA50,,0.9 Riser
AB51,,900High
AC51,,900*600
AG51,"=SUM(AG47,AG31,AG40)",0
AH51,"=SUM(AH47,AH31,AH40)",0
AI51,"=SUM(AI47,AI31,AI40)",0
AJ51,"=SUM(AJ47,AJ31,AJ40)",0
AT51,,900High
AU51,,900*600
J52,,600*600
N52,,600High
AC52,,1050
AG52,"=SUM(AG41:AG44,AG32:AG37,AG28)",0
AH52,"=SUM(AH41:AH44,AH32:AH37,AH28)",0
AI52,"=SUM(AI41:AI44,AI32:AI37,AI28)",0
AJ52,"=SUM(AJ41:AJ44,AJ32:AJ37,AJ28)",0
AU52,,1050
AW52,=COUNTA(AR28:AR29),0
AX52,=SUM(AX28:AX29),0
AY52,=SUM(AY28:AY29),0
AZ52,=SUM(AZ28:AZ29),0
BA52,=SUM(BA28:BA29),0
J53,,900*600
M53,=COUNTA(H46),0
N53,,900High
AC53,,1200
AG53,"=COUNTA(AG38:AG39,AG45)",0
AH53,"=COUNTA(AH38:AH39,AH45)",0
AI53,"=COUNTA(AI38:AI39,AI45)",0
AJ53,"=COUNTA(AJ38:AJ39,AJ45)",0
AU53,,1200
J54,,900*900
M54,"=COUNTA(H28,H29,H36,H37,H38,H44,H45)",0
N54,,900High
O54,"=COUNTA(O29,O36,O38)",0
P54,=COUNTA(P36),0
Q54,"=COUNTA(Q29,Q37,Q38,Q44)",0
J55,,900x1200
N55,,1200High
J56,,1200 DIA
M56,"=COUNTA(H30,H31,H32,H39,H40,H41)",0
N56,,1200 High 
P56,"=COUNTA(P32,P39)",0
Q56,"=COUNTA(Q30,Q40)",0
R56,"=COUNTA(R31,R32,R41)",0
I57,,1st Order
J57,,1500 DIA
N57,,1200 High 
AB57,,1st Order
AC57,,600*600
AT57,,1st Order
AU57,,600*600
J58,,2100
N58,,900 high 
AC58,,900*600
AU58,,900*600
J59,,2100
N59,,600 High 
AC59,,1050
AU59,,1050
J60,,2100
N60,,300 High 
O63,,0.2R 1.2*1.2
M65,,Pit Bases
O65,,0.15 Riser
P65,,0.3 Riser
Q65,,0.6 Riser
R65,,0.9 Riser
I66,,TOTAL 
J66,,900*600
N66,,600High
J67,,900*600
N67,,900High
O67,,0
P67,,0
Q67,,0
R67,,0
J68,,1050Dia
O68,,0
P68,,0
Q68,=Q55+AI52+AZ52,0
R68,=R55+AJ52+BA52,0
J69,,1200Dia
O69,,0
P69,,0
Q69,=Q56+AI53+AZ53,0
R69,=R56+AJ53+BA53,0
J72,,1200 Pit
K72,,In lieu of 1050&1200Ch
N72,,1200High
M76,,Grates/Covers
I77,,TOTAL 
J77,,600x600
M77,,heel safe grate cover 
O77,,"CL D, Hinged, Galv, Bolt Down."
J78,,600X600
M78,,Grate &Frame 
O78,,"CL D, Cast Iron "
J79,,600x900
M79,, heel safe grate cover 
O79,,"CL D, Hinged, Galv, Bolt Down."
J80,,600x900
M80,,Grate &Frame 
O80,,"CL D, Hinged, Galv, Bolt Down."
J81,,900X900
L81,"=COUNTA(G28,G29,G30,G31,G32,G33,G38,G39,G40,G41,G43,G45)",0
M81,,Grate &Frame 
O81,,"CL D, Hinged, Galv, Bolt Down."
J82,,900X900
L82,"=COUNTA(G36,G37,G44)",0
M82,, heel safe grate cover 
O82,,"CL D, Cast Iron "
J83,,1200 aspro 9x9
L83,"=COUNTA(H30,H31,H32,H39,H40,H41)",0
M83,,Aspro
O83,,"150Thick, 900*900 Opening"
J84,,1500 aspro 9x9 
L84,"=COUNTA(H33,H43)",0
M84,,Aspro
O84,,"150Thick, 900*900 Opening"
J85,,1200*1200
M85,,Grate & Frame
O85,,"CL D, Hinged, Galv, Bolt Down."
J86,,atlan filter 900x900 
L86,"=COUNTA(H28,H29,H30,H31,H33,H36,H37,H38,H40,H41,H43,H44)",0
M87,,2.4m lintel
O87,,"3.6m SAG centre inlet, Kerb in line"
M88,,concrete head wall to suit 1050 pipe 
M91,,Head Wall
O91,,Precast - 450RCP Inlet
M94,,Pit Bases
O94,,0.15 Riser
P94,,0.3 Riser
Q94,,0.6 Riser
R94,,0.9 Riser
I95,,1st PIT Order
J95,,600*600
N95,,600High
J96,,900*900
N96,,900High
J97,,900*600
N97,,600High
J98,,900*600
N98,,900High
J99,,1050
N99,,0High
M101,,Grates/Covers
I102,,1St GRATE Order
J102,,600*600
M102,,Grate & Frame
O102,,"CL D, Galv, Bolt Down."
J103,,600*600
M103,,Grate & Frame
O103,,"CL B, Galv, Bolt Down."
J104,,600*600
M104,,Cover & Frm - INFILL
O104,,"CL B, Galv, Bolt Down."
J105,,600*600
M105,,V-Grate w/conc surround
O105,,"CL B, Galv"
J106,,900*600
M106,,Grate & Frame
O106,,"CL D, Galv, Bolt Down."
J107,,900*600
M107,,Grate & Frame
O107,,"CL D, Galv, Bolt Down - HEEL GUARD"
J108,,900*900
M108,,Grate & Frame
O108,,"CL D, Galv, Bolt Down - HEEL GUARD"
J109,,1050*6*9
M109,,Aspro
O109,,"150Thick, 900*600 Opening"
M112,,Grates/Covers
I113,,2nd GRATE Order
J113,,600*600
M113,,Grate & Frame
O113,,"CL D, Galv, Bolt Down."
J114,,600*600
M114,,Grate & Frame
O114,,"CL B, Galv, Bolt Down."
J115,,600*600
M115,,Cover & Frm - INFILL
O115,,"CL B, Galv, Bolt Down."
J116,,600*600
M116,,V-Grate w/conc surround
O116,,"CL B, Galv"
J117,,900*600
M117,,Grate & Frame
O117,,"CL D, Galv, Bolt Down."
J118,,900*600
M118,,Grate & Frame
O118,,"CL D, Galv, Bolt Down - HEEL GUARD"
J119,,900*900
M119,,Grate & Frame
O119,,"CL D, Galv, Bolt Down - HEEL GUARD"
J120,,1050*6*9
M120,,Aspro
O120,,"150Thick, 900*600 Opening"
