cell,formula,cached_value
I47,=I45*$C$8,19866
J47,=J45*$C$8,20328
B49,,QTY Staff in Crew
C49,"=COUNTA(B46,B47,B48)",1
B51,,T/A & Apprentice
C51,,HR
D51,,1
E51,,70
F51,=D51*E51,70
G51,=E51+(F51*$F$9),71.75
H51,=E51+(E51*$F$10),73.5
I51,=E51+(E51*$F$11),75.25
J51,=E51+(E51*$F$12),77
C52,,DAY
D52,,1
E52,=E51*$C$10,612.5
F52,=D52*E52,612.5
G52,=G51*$C$10,627.8125
H52,=H51*$C$10,643.125
I52,=I51*$C$10,658.4375
J52,=J51*$C$10,673.75
B53,=B51,T/A & Apprentice
C53,,WEEK
D53,,1
E53,=E52*$C$11,3675
F53,=D53*E53,3675
G53,=G52*$C$11,3766.875
H53,=H52*$C$11,3858.75
I53,=I52*$C$11,3950.625
J53,=J52*$C$11,4042.5
C54,,MONTH
D54,,1
E54,=E52*$C$8,14700
F54,=D54*E54,14700
G54,=G52*$C$8,15067.5
H54,=H52*$C$8,15435
I54,=I52*$C$8,15802.5
J54,=J52*$C$8,16170
B56,,QTY Staff in Crew
C56,"=COUNTA(B53,B54,B55)",1
