cell,formula,cached_value
D46,='[3]240522_Supplier RFQ'!F57,185.71
F46,=I46*D46,7428.400000000001
I46,,40
A47,,200*180 Long SPIG Reducer
B47,,ea
D47,='[3]240522_Supplier RFQ'!F58,55.84
F47,=I47*D47,223.36
I47,,4
A48,,180*125 Long SPIG Reducer
B48,,ea
D48,='[3]240522_Supplier RFQ'!F59,39.83
F48,=I48*D48,796.5999999999999
I48,,20
D49,='[3]240522_Supplier RFQ'!F60,0
A50,,200 FL DICL Sluice Valve
B50,,ea
D50,='[3]240522_Supplier RFQ'!F61,679.41
F50,=I50*D50,4076.46
G50,,COMPLETED don’t edit
I50,,6
A51,,150 FL DICL Sluice Valve
B51,,ea
D51,='[3]240522_Supplier RFQ'!F62,323.53
F51,=I51*D51,19411.8
I51,,60
A52,,100 FL DICL Sluice Valve
B52,,ea
D52,='[3]240522_Supplier RFQ'!F63,202.94
F52,=I52*D52,6088.2
I52,,30
A53,,Valve Spindle Riser - 600Long
B53,,ea
D53,='[3]240522_Supplier RFQ'!F64,136.94
F53,=I53*D53,13146.24
I53,,96
A54,,"Valve Box - Cast Iron Trafficable - Rectangle Type ""V"""
B54,,ea
D54,='[3]240522_Supplier RFQ'!F65,123.53
F54,=I54*D54,8647.1
I54,,70
A55,,"Valve Box - Non-Trafficable - Plastic Surround with CI Drop In ""V"""
B55,,ea
D55,='[3]240522_Supplier RFQ'!F66,98.82
F55,=I55*D55,2964.6
G55,,COMPLETED don’t edit
I55,,30
A57,,200*150mm DICL FL Reducer
B57,,ea
D57,='[3]240522_Supplier RFQ'!F68,291.18
F57,=I57*D57,582.36
I57,,2
A58,,200*100mm DICL FL Reducer
B58,,ea
D58,='[3]240522_Supplier RFQ'!F69,330
F58,=I58*D58,660
I58,,2
A59,,150*100mm DICL FL Reducer
B59,,ea
D59,='[3]240522_Supplier RFQ'!F70,156
F59,=I59*D59,936
I59,,6
A60,,150mm DICL FL * SP Adapter
B60,,ea
D60,='[3]240522_Supplier RFQ'!F71,106.24
F60,=I60*D60,1274.8799999999999
G60,,COMPLETED don’t edit
I60,,12
A61,,100mm DICL FL * SP Adapter
B61,,ea
D61,='[3]240522_Supplier RFQ'!F72,70.59
F61,=I61*D61,564.72
I61,,8
A62,,200mm DICL FL 90Deg Bend
B62,,ea
D62,='[3]240522_Supplier RFQ'!F73,516.35
F62,=I62*D62,1032.7
I62,,2
A63,,150mm DICL FL 90Deg Bend
B63,,ea
D63,='[3]240522_Supplier RFQ'!F74,198.88
F63,=I63*D63,1591.04
I63,,8
A64,,100mm DICL FL 90Deg Bend
B64,,ea
D64,='[3]240522_Supplier RFQ'!F75,108.71
F64,=I64*D64,434.84
I64,,4
A65,,200mm DICL FL TEE
B65,,ea
D65,='[3]240522_Supplier RFQ'!F76,672.65
F65,=I65*D65,1345.3
G65,,COMPLETED don’t edit
I65,,2
A66,,150mm DICL FL TEE
B66,,ea
D66,='[3]240522_Supplier RFQ'!F77,228.24
F66,=I66*D66,3423.6000000000004
I66,,15
A67,,100mm DICL FL TEE
B67,,ea
D67,='[3]240522_Supplier RFQ'!F78,128.24
F67,=I67*D67,256.48
I67,,2
A68,,200*150*200 DICL FL TEE
B68,,ea
D68,='[3]240522_Supplier RFQ'!F79,536.76
F68,=I68*D68,1073.52
I68,,2
A69,,200*100*200 DICL FL TEE
B69,,ea
D69,='[3]240522_Supplier RFQ'!F80,576.47
F69,=I69*D69,576.47
I69,,1
A70,,150-100-150 DICL FL TEE
B70,,ea
D70,='[3]240522_Supplier RFQ'!F81,198.82
F70,=I70*D70,1192.92
G70,,COMPLETED don’t edit
I70,,6
A71,,200mm DICL FL Pipe @ 1000
B71,,ea
D71,='[3]240522_Supplier RFQ'!F82,898.82
F71,=I71*D71,898.82
I71,,1
A72,,200mm DICL FL Pipe @ 600
B72,,ea
D72,='[3]240522_Supplier RFQ'!F83,640
F72,=I72*D72,640
I72,,1
A73,,200mm DICL FL Pipe @ 300
B73,,ea
D73,='[3]240522_Supplier RFQ'!F84,355.29
F73,=I73*D73,355.29
I73,,1
A74,,150mm DICL FL Pipe @ 1000
B74,,ea
D74,='[3]240522_Supplier RFQ'!F85,534.41
F74,=I74*D74,534.41
I74,,1
A75,,150mm DICL FL Pipe @ 600
B75,,ea
D75,='[3]240522_Supplier RFQ'!F86,280
F75,=I75*D75,280
G75,,COMPLETED don’t edit
I75,,1
A76,,150mm DICL FL Pipe @ 450
B76,,ea
D76,='[3]240522_Supplier RFQ'!F87,236.47
F76,=I76*D76,236.47
I76,,1
A77,,150mm DICL FL Pipe @ 300
B77,,ea
D77,='[3]240522_Supplier RFQ'!F88,178.8
F77,=I77*D77,1430.4
I77,,8
A78,,100mm DICL FL Pipe @ 1000
B78,,ea
D78,='[3]240522_Supplier RFQ'!F89,362.35
F78,=I78*D78,362.35
I78,,1
A79,,100mm DICL FL Pipe @ 600
B79,,ea
D79,='[3]240522_Supplier RFQ'!F90,144.71
F79,=I79*D79,144.71
I79,,1
A80,,100mm DICL FL Pipe @ 450
B80,,ea
D80,='[3]240522_Supplier RFQ'!F91,135.88
F80,=I80*D80,135.88
G80,,COMPLETED don’t edit
I80,,1
A81,,100mm DICL FL Pipe @ 300
B81,,ea
D81,='[3]240522_Supplier RFQ'!F92,76.47
F81,=I81*D81,305.88
I81,,4
A82,,150mm DICL FL Deadplate
B82,,ea
D82,='[3]240522_Supplier RFQ'!F93,67.65
F82,=I82*D82,1691.2500000000002
I82,,25
A83,,100mm DICL FL Deadplate 
B83,,ea
D83,='[3]240522_Supplier RFQ'!F94,43.53
F83,=I83*D83,1958.8500000000001
I83,,45
A85,,200mm PE*DI Gasket Kit Complete
B85,,ea
D85,='[3]240522_Supplier RFQ'!F96,67.06
F85,=I85*D85,804.72
G85,,COMPLETED don’t edit
I85,,12
A86,,200mm DI*DI Gasket Kit Complete
B86,,ea
D86,='[3]240522_Supplier RFQ'!F97,46.71
F86,=I86*D86,560.52
I86,,12
A87,,150mm PE*DI Gasket Kit Complete
B87,,ea
D87,='[3]240522_Supplier RFQ'!F98,60
F87,=I87*D87,3600
I87,,60
A88,,150mm DI*DI Gasket Kit Complete
B88,,ea
D88,='[3]240522_Supplier RFQ'!F99,42.35
F88,=I88*D88,2541
I88,,60
A89,,100mm PE*DI Gasket Kit Complete
B89,,ea
D89,='[3]240522_Supplier RFQ'!F100,24.71
F89,=I89*D89,741.3000000000001
I89,,30
A90,,100mm DI*DI Gasket Kit Complete
B90,,ea
D90,='[3]240522_Supplier RFQ'!F101,20
F90,=I90*D90,600
G90,,COMPLETED don’t edit
I90,,30
A92,,150mm SS Gibault Adapter Coupling
B92,,ea
D92,='[3]240522_Supplier RFQ'!F103,108.71
F92,=I92*D92,2174.2
I92,,20
A93,,100mm SS Gibault Adapter Coupling
B93,,ea
D93,='[3]240522_Supplier RFQ'!F104,87.06
F93,=I93*D93,1218.8400000000001
I93,,14
A94,,180mm PE GRIPPER Adapter Coupling
B94,,ea
D94,='[3]240522_Supplier RFQ'!F105,305.88
F94,=I94*D94,3670.56
I94,,12
A95,,125mm PE GRIPPER Adapter Coupling
B95,,ea
D95,='[3]240522_Supplier RFQ'!F106,182.35
F95,=I95*D95,1458.8
G95,,COMPLETED don’t edit
I95,,8
A96,,180mm PE GRIPPER * 150FL Adapter Coupling
B96,,ea
D96,='[3]240522_Supplier RFQ'!F107,229.41
F96,=I96*D96,917.64
I96,,4
A97,,125mm PE GRIPPER * 100FL Adapter Coupling
B97,,ea
D97,='[3]240522_Supplier RFQ'!F108,152.94
F97,=I97*D97,611.76
I97,,4
A98,,180mm PE GRIPPER Sluice Valve
B98,,ea
D98,='[3]240522_Supplier RFQ'!F109,690
F98,=I98*D98,13800
I98,,20
A99,,125mm PE GRIPPER Sluice Valve
B99,,ea
D99,='[3]240522_Supplier RFQ'!F110,408.47
F99,=I99*D99,8169.400000000001
I99,,20
G100,,COMPLETED don’t edit
A101,,Detectable Tape - Fire x 250m
B101,,ea
D101,='[3]240522_Supplier RFQ'!F112,90
F101,=I101*D101,2520
I101,,28
A102,,Alcohol Weld Wipes
B102,,ea
