path,pages,status
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\humes\Humes Terms Sale.pdf,5,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\humes\HUMES_Q21641195_REV1_TRICORE PLUMBING_260701 - 787 YAAMBA ROAD PARKHURST #10260567.pdf,7,ok (longpath)
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\jaybro\tricore 20043160.pdf,2,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\tradelink\1065005_TRICORE_PLUMBING_SERVICES_PTY_LTD.pdf,2,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\tradelink\ss_1065005_TRICORE_PLUMBING_SERVICES_PTY_LTD.pdf,2,ok
Tender Docs\260701-Paynters\NQL2024-0320 AC Rev0 Geotechnical Investigation.pdf,184,ok
Tender Docs\260701-Paynters\00 Invitation to Tender\26-148 Invitation to Tender Letter.pdf,3,ok
Tender Docs\260701-Paynters\01 Drawings\VOL 20 - SE_12306_SKT_CMP_SUB-STAGES_B.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\260701 Club house hydraulic Combine T1.pdf,12,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-000-T1 COVER SHEET.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-001-T1 LEGEND AND SYMBOLS.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-002-T1 HYDRAULIC NOTES.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-100-T1 GROUND FLOOR SANITARY PLUMBING LAYOUT - PART 1.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-101-T1 GROUND FLOOR SANITARY PLUMBING LAYOUT - PART 2.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-102-T1 GROUND FLOOR SANITARY PLUMBING LAYOUT - PART 3.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-103-T1 ROOF LEVEL STORM WATER LAYOUT.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-200-T1 GROUND FLOOR WATER RETICULATION LAYOUT - PART 1.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-201-T1 GROUND FLOOR WATER RETICULATION LAYOUT - PART 2.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-202-T1 GROUND FLOOR WATER RETICULATION LAYOUT - PART 3.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-300-T1 DETAILS.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-301-T1 DETAILS.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\2. Public Amenities (PAM)\VOL 11. Hydraulic Services\260701 Public Amenities Hydraulic Combine  T1.pdf,8,ok
Tender Docs\260701-Paynters\01 Drawings\2. Public Amenities (PAM)\VOL 11. Hydraulic Services\H-PAM-000-T1 COVER SHEET.pdf,1,ok
"Tender Docs\260701-Paynters\01 Drawings\2. Public Amenities (PAM)\VOL 11. Hydraulic Services\H-PAM-001-T1 ABBREVIATIONS, LEGEND & SYMBOLS.pdf",1,ok
Tender Docs\260701-Paynters\01 Drawings\2. Public Amenities (PAM)\VOL 11. Hydraulic Services\H-PAM-002-T1 GENERAL NOTES.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\2. Public Amenities (PAM)\VOL 11. Hydraulic Services\H-PAM-100-T1 GROUND FLOOR SANITARY PLUMBING LAYOUT.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\2. Public Amenities (PAM)\VOL 11. Hydraulic Services\H-PAM-101-T1 ROOF LEVEL STORM WATER LAYOUT.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\2. Public Amenities (PAM)\VOL 11. Hydraulic Services\H-PAM-200-T1 GROUND FLOOR WATER RETICULATION LAYOUT.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\2. Public Amenities (PAM)\VOL 11. Hydraulic Services\H-PAM-300-T1 DETAILS.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\2. Public Amenities (PAM)\VOL 11. Hydraulic Services\H-PAM-301-T1 DETAILS.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\260701 Sitework Civil SW Combine T1.pdf,27,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1300-T1 STORMWATER DRAINAGE LAYOUT PLAN SHEET 1.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1301-T1 STORMWATER DRAINAGE LAYOUT PLAN SHEET 2.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1302-T1 STORMWATER DRAINAGE LAYOUT PLAN SHEET 3.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1303-T1 STORMWATER DRAINAGE LAYOUT PLAN SHEET 4.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1304-T1 STORMWATER DRAINAGE LAYOUT PLAN SHEET 5.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1305-T1 STORMWATER DRAINAGE LAYOUT PLAN SHEET 6.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1310-T1 STORMWATER DRAINAGE PIT SCHEDULE.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1320-T1 STORMWATER DRAINAGE DETAILS SHEET 1.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1321-T1 STORMWATER DRAINAGE DETAILS SHEET 2.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1322-T1 STORMWATER DRAINAGE DETAILS SHEET 3.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1323-T1 STORMWATER DRAINAGE DETAILS SHEET 4.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1324-T1 STORMWATER DRAINAGE DETAILS SHEET 5.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1325-T1 STORMWATER DRAINAGE DETAILS SHEET 5.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1350-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 1.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1351-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 2.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1352-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 3.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1353-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 4.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1354-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 5.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1355-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 6.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1356-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 7.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1357-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 8.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1358-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 9.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1359-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 10.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1360-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 11.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1361-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 12.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1362-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 14.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 15. Civil Engineering\SE_12306_F1363-T1 STORMWATER DRAINAGE LONG SECTIONS SHEET 15.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 17. Hydraulic Services\260701 Site work Hydraulic Combine T1.pdf,6,ok
"Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 17. Hydraulic Services\H001-T1 COVER SHEET, DRAWING SCHEDULE, SYMBOLS AND ABBREVIATIONS.pdf",1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 17. Hydraulic Services\H002-T1 SPECIFICATION.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 17. Hydraulic Services\H003-T1 STAGE 1 SITE RETICULATION.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 17. Hydraulic Services\H300-T1 DETAILS.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 17. Hydraulic Services\QCPS32VC-A01 Q-MAX FORTIS 3200 PUMP STATION GENERAL LAYOUT (SECTIONAL PLAN VIEW).pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\4. Siteworks\VOL 17. Hydraulic Services\QCPS32VC-A02 Q-MAX FORTIS 3200 PUMP STATION GENERAL LAYOUT (SECTIONAL ELEVATION).pdf,1,ok (longpath)
Tender Docs\260701-Paynters\02 Specifications\VOL 21 - Invitation to Tender - Part 2 - Technical Specification.pdf,17,ok
